E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
1,-14,63745,64000,-0.000122,-6.104e-5,1000010000000000,1000011111111111,1024,-4,2,5,2,8,Posit16(-0.000121831894),Posit16(-6.1035156e-5),1111100100000001,1111101000000000,256
2,-13,63489,63744,-0.000244,-0.0001221,1000100000000000,1000101111111111,1024,-4,3,5,2,8,Posit16(-0.00024366379),Posit16(-0.00012207031),1111100000000001,1111100100000000,256
3,-12,62977,63488,-0.000488,-0.0002441,1000110000000000,1000111111111111,1024,-3,0,4,2,9,Posit16(-0.0004878044),Posit16(-0.00024414062),1111011000000001,1111100000000000,512
4,-11,62465,62976,-0.000976,-0.0004883,1001000000000000,1001001111111111,1024,-3,1,4,2,9,Posit16(-0.0009756088),Posit16(-0.00048828125),1111010000000001,1111011000000000,512
5,-10,61953,62464,-0.001952,-0.000977,1001010000000000,1001011111111111,1024,-3,2,4,2,9,Posit16(-0.0019512177),Posit16(-0.0009765625),1111001000000001,1111010000000000,512
6,-9,61441,61952,-0.003904,-0.001953,1001100000000000,1001101111111111,1024,-3,3,4,2,9,Posit16(-0.0039024353),Posit16(-0.001953125),1111000000000001,1111001000000000,512
7,-8,60417,61440,-0.00781,-0.003906,1001110000000000,1001111111111111,1024,-2,0,3,2,10,Posit16(-0.0078086853),Posit16(-0.00390625),1110110000000001,1111000000000000,1024
8,-7,59393,60416,-0.01562,-0.007812,1010000000000000,1010001111111111,1024,-2,1,3,2,10,Posit16(-0.015617371),Posit16(-0.0078125),1110100000000001,1110110000000000,1024
9,-6,58369,59392,-0.03123,-0.01563,1010010000000000,1010011111111111,1024,-2,2,3,2,10,Posit16(-0.031234741),Posit16(-0.015625),1110010000000001,1110100000000000,1024
10,-5,57345,58368,-0.06247,-0.03125,1010100000000000,1010101111111111,1024,-2,3,3,2,10,Posit16(-0.062469482),Posit16(-0.03125),1110000000000001,1110010000000000,1024
11,-4,55297,57344,-0.12494,-0.0625,1010110000000000,1010111111111111,1024,-1,0,2,2,11,Posit16(-0.12496948),Posit16(-0.0625),1101100000000001,1110000000000000,2048
12,-3,53249,55296,-0.2499,-0.125,1011000000000000,1011001111111111,1024,-1,1,2,2,11,Posit16(-0.24993896),Posit16(-0.125),1101000000000001,1101100000000000,2048
13,-2,51201,53248,-0.4998,-0.25,1011010000000000,1011011111111111,1024,-1,2,2,2,11,Posit16(-0.49987793),Posit16(-0.25),1100100000000001,1101000000000000,2048
14,-1,49153,51200,-0.9995,-0.5,1011100000000000,1011101111111111,1024,-1,3,2,2,11,Posit16(-0.99975586),Posit16(-0.5),1100000000000001,1100100000000000,2048
15,0,47105,49152,-1.999,-1.0,1011110000000000,1011111111111111,1024,0,0,2,2,11,Posit16(-1.9995117),Posit16(-1.0),1011100000000001,1100000000000000,2048
16,1,45057,47104,-3.998,-2.0,1100000000000000,1100001111111111,1024,0,1,2,2,11,Posit16(-3.9990234),Posit16(-2.0),1011000000000001,1011100000000000,2048
17,2,43009,45056,-7.996,-4.0,1100010000000000,1100011111111111,1024,0,2,2,2,11,Posit16(-7.998047),Posit16(-4.0),1010100000000001,1011000000000000,2048
18,3,40961,43008,-15.99,-8.0,1100100000000000,1100101111111111,1024,0,3,2,2,11,Posit16(-15.996094),Posit16(-8.0),1010000000000001,1010100000000000,2048
19,4,39937,40960,-31.98,-16.0,1100110000000000,1100111111111111,1024,1,0,3,2,10,Posit16(-31.984375),Posit16(-16.0),1001110000000001,1010000000000000,1024
20,5,38913,39936,-63.97,-32.0,1101000000000000,1101001111111111,1024,1,1,3,2,10,Posit16(-63.96875),Posit16(-32.0),1001100000000001,1001110000000000,1024
21,6,37889,38912,-127.94,-64.0,1101010000000000,1101011111111111,1024,1,2,3,2,10,Posit16(-127.9375),Posit16(-64.0),1001010000000001,1001100000000000,1024
22,7,36865,37888,-255.9,-128.0,1101100000000000,1101101111111111,1024,1,3,3,2,10,Posit16(-255.875),Posit16(-128.0),1001000000000001,1001010000000000,1024
23,8,36353,36864,-511.8,-256.0,1101110000000000,1101111111111111,1024,2,0,4,2,9,Posit16(-511.5),Posit16(-256.0),1000111000000001,1001000000000000,512
24,9,35841,36352,-1.0235e3,-512.0,1110000000000000,1110001111111111,1024,2,1,4,2,9,Posit16(-1023.0),Posit16(-512.0),1000110000000001,1000111000000000,512
25,10,35329,35840,-2.047e3,-1.024e3,1110010000000000,1110011111111111,1024,2,2,4,2,9,Posit16(-2046.0),Posit16(-1024.0),1000101000000001,1000110000000000,512
26,11,34817,35328,-4.094e3,-2.048e3,1110100000000000,1110101111111111,1024,2,3,4,2,9,Posit16(-4092.0),Posit16(-2048.0),1000100000000001,1000101000000000,512
27,12,34561,34816,-8.188e3,-4.096e3,1110110000000000,1110111111111111,1024,3,0,5,2,8,Posit16(-8176.0),Posit16(-4096.0),1000011100000001,1000100000000000,256
28,13,34305,34560,-1.6376e4,-8.19e3,1111000000000000,1111001111111111,1024,3,1,5,2,8,Posit16(-16352.0),Posit16(-8192.0),1000011000000001,1000011100000000,256
29,14,34049,34304,-3.275e4,-1.638e4,1111010000000000,1111011111111111,1024,3,2,5,2,8,Posit16(-32704.0),Posit16(-16384.0),1000010100000001,1000011000000000,256
30,15,33793,34048,-6.55e4,-3.277e4,1111100000000000,1111101111111111,1024,3,3,5,2,8,Posit16(-65408.0),Posit16(-32768.0),1000010000000001,1000010100000000,256
