E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
1,-126,1,1,1.1754944e-38,2.3509886e-38,00000000100000000000000000000000,00000000111111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
2,-125,1,1,2.3509887e-38,4.701977e-38,00000001000000000000000000000000,00000001011111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
3,-124,1,1,4.7019774e-38,9.403954e-38,00000001100000000000000000000000,00000001111111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
4,-123,1,1,9.403955e-38,1.8807908e-37,00000010000000000000000000000000,00000010011111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
5,-122,1,1,1.880791e-37,3.7615817e-37,00000010100000000000000000000000,00000010111111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
6,-121,1,1,3.761582e-37,7.5231634e-37,00000011000000000000000000000000,00000011011111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
7,-120,1,1,7.523164e-37,1.5046327e-36,00000011100000000000000000000000,00000011111111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
8,-119,1,1,1.5046328e-36,3.0092654e-36,00000100000000000000000000000000,00000100011111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
9,-118,1,1,3.0092655e-36,6.0185307e-36,00000100100000000000000000000000,00000100111111111111111111111111,8388608,-30,0,31,0,0,Posit32(7.52316384526264e-37),Posit32(7.52316384526264e-37),00000000000000000000000000000001,00000000000000000000000000000001,1
10,-117,2,2,6.018531e-36,1.20370614e-35,00000101000000000000000000000000,00000101011111111111111111111111,8388608,-29,0,30,1,0,Posit32(1.2037062152420224e-35),Posit32(1.2037062152420224e-35),00000000000000000000000000000010,00000000000000000000000000000010,1
11,-116,2,2,1.2037062e-35,2.4074123e-35,00000101100000000000000000000000,00000101111111111111111111111111,8388608,-29,0,30,1,0,Posit32(1.2037062152420224e-35),Posit32(1.2037062152420224e-35),00000000000000000000000000000010,00000000000000000000000000000010,1
12,-115,3,3,2.4074124e-35,4.8148246e-35,00000110000000000000000000000000,00000110011111111111111111111111,8388608,-29,1,30,1,0,Posit32(4.81482486096809e-35),Posit32(4.81482486096809e-35),00000000000000000000000000000011,00000000000000000000000000000011,1
