E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
13,-114,3,3,4.814825e-35,9.629649e-35,00000110100000000000000000000000,00000110111111111111111111111111,8388608,-29,1,30,1,0,Posit32(4.81482486096809e-35),Posit32(4.81482486096809e-35),00000000000000000000000000000011,00000000000000000000000000000011,1
14,-113,4,4,9.62965e-35,1.9259298e-34,00000111000000000000000000000000,00000111011111111111111111111111,8388608,-28,0,29,2,0,Posit32(1.925929944387236e-34),Posit32(1.925929944387236e-34),00000000000000000000000000000100,00000000000000000000000000000100,1
15,-112,4,4,1.92593e-34,3.8518597e-34,00000111100000000000000000000000,00000111111111111111111111111111,8388608,-28,0,29,2,0,Posit32(1.925929944387236e-34),Posit32(1.925929944387236e-34),00000000000000000000000000000100,00000000000000000000000000000100,1
16,-111,5,5,3.85186e-34,7.7037193e-34,00001000000000000000000000000000,00001000011111111111111111111111,8388608,-28,1,29,2,0,Posit32(3.851859888774472e-34),Posit32(3.851859888774472e-34),00000000000000000000000000000101,00000000000000000000000000000101,1
17,-110,6,6,7.70372e-34,1.5407439e-33,00001000100000000000000000000000,00001000111111111111111111111111,8388608,-28,2,29,2,0,Posit32(7.703719777548943e-34),Posit32(7.703719777548943e-34),00000000000000000000000000000110,00000000000000000000000000000110,1
18,-109,7,7,1.540744e-33,3.0814877e-33,00001001000000000000000000000000,00001001011111111111111111111111,8388608,-28,3,29,2,0,Posit32(1.5407439555097887e-33),Posit32(1.5407439555097887e-33),00000000000000000000000000000111,00000000000000000000000000000111,1
19,-108,8,9,3.081488e-33,6.1629755e-33,00001001100000000000000000000000,00001001111111111111111111111111,8388608,-27,0,28,2,1,Posit32(3.0814879110195774e-33),Posit32(4.622231866529366e-33),00000000000000000000000000001000,00000000000000000000000000001001,2
20,-107,10,11,6.162976e-33,1.2325951e-32,00001010000000000000000000000000,00001010011111111111111111111111,8388608,-27,1,28,2,1,Posit32(6.162975822039155e-33),Posit32(9.244463733058732e-33),00000000000000000000000000001010,00000000000000000000000000001011,2
21,-106,12,13,1.2325952e-32,2.4651902e-32,00001010100000000000000000000000,00001010111111111111111111111111,8388608,-27,2,28,2,1,Posit32(1.232595164407831e-32),Posit32(1.8488927466117464e-32),00000000000000000000000000001100,00000000000000000000000000001101,2
22,-105,14,15,2.4651903e-32,4.9303804e-32,00001011000000000000000000000000,00001011011111111111111111111111,8388608,-27,3,28,2,1,Posit32(2.465190328815662e-32),Posit32(3.697785493223493e-32),00000000000000000000000000001110,00000000000000000000000000001111,2
23,-104,16,19,4.9303807e-32,9.860761e-32,00001011100000000000000000000000,00001011111111111111111111111111,8388608,-26,0,27,2,2,Posit32(4.930380657631324e-32),Posit32(8.628166150854817e-32),00000000000000000000000000010000,00000000000000000000000000010011,4
24,-103,20,23,9.8607613e-32,1.9721521e-31,00001100000000000000000000000000,00001100011111111111111111111111,8388608,-26,1,27,2,2,Posit32(9.860761315262648e-32),Posit32(1.7256332301709633e-31),00000000000000000000000000010100,00000000000000000000000000010111,4
25,-102,24,27,1.9721523e-31,3.9443043e-31,00001100100000000000000000000000,00001100111111111111111111111111,8388608,-26,2,27,2,2,Posit32(1.9721522630525295e-31),Posit32(3.4512664603419266e-31),00000000000000000000000000011000,00000000000000000000000000011011,4
26,-101,28,31,3.9443045e-31,7.8886086e-31,00001101000000000000000000000000,00001101011111111111111111111111,8388608,-26,3,27,2,2,Posit32(3.944304526105059e-31),Posit32(6.902532920683853e-31),00000000000000000000000000011100,00000000000000000000000000011111,4
27,-100,32,39,7.888609e-31,1.5777217e-30,00001101100000000000000000000000,00001101111111111111111111111111,8388608,-25,0,26,2,3,Posit32(7.888609052210118e-31),Posit32(1.4791141972893971e-30),00000000000000000000000000100000,00000000000000000000000000100111,8
28,-99,40,47,1.5777218e-30,3.1554434e-30,00001110000000000000000000000000,00001110011111111111111111111111,8388608,-25,1,26,2,3,Posit32(1.5777218104420236e-30),Posit32(2.9582283945787943e-30),00000000000000000000000000101000,00000000000000000000000000101111,8
29,-98,48,55,3.1554436e-30,6.310887e-30,00001110100000000000000000000000,00001110111111111111111111111111,8388608,-25,2,26,2,3,Posit32(3.1554436208840472e-30),Posit32(5.9164567891575885e-30),00000000000000000000000000110000,00000000000000000000000000110111,8
30,-97,56,63,6.3108872e-30,1.2621774e-29,00001111000000000000000000000000,00001111011111111111111111111111,8388608,-25,3,26,2,3,Posit32(6.310887241768095e-30),Posit32(1.1832913578315177e-29),00000000000000000000000000111000,00000000000000000000000000111111,8
31,-96,64,79,1.2621775e-29,2.5243547e-29,00001111100000000000000000000000,00001111111111111111111111111111,8388608,-24,0,25,2,4,Posit32(1.262177448353619e-29),Posit32(2.4454688061851366e-29),00000000000000000000000001000000,00000000000000000000000001001111,16
32,-95,80,95,2.524355e-29,5.0487095e-29,00010000000000000000000000000000,00010000011111111111111111111111,8388608,-24,1,25,2,4,Posit32(2.524354896707238e-29),Posit32(4.890937612370273e-29),00000000000000000000000001010000,00000000000000000000000001011111,16
33,-94,96,111,5.04871e-29,1.0097419e-28,00010000100000000000000000000000,00010000111111111111111111111111,8388608,-24,2,25,2,4,Posit32(5.048709793414476e-29),Posit32(9.781875224740546e-29),00000000000000000000000001100000,00000000000000000000000001101111,16
34,-93,112,127,1.009742e-28,2.0194838e-28,00010001000000000000000000000000,00010001011111111111111111111111,8388608,-24,3,25,2,4,Posit32(1.0097419586828951e-28),Posit32(1.9563750449481093e-28),00000000000000000000000001110000,00000000000000000000000001111111,16
35,-92,128,159,2.019484e-28,4.0389676e-28,00010001100000000000000000000000,00010001111111111111111111111111,8388608,-23,0,24,2,5,Posit32(2.0194839173657902e-28),Posit32(3.9758589623138995e-28),00000000000000000000000010000000,00000000000000000000000010011111,32
36,-91,160,191,4.038968e-28,8.077935e-28,00010010000000000000000000000000,00010010011111111111111111111111,8388608,-23,1,24,2,5,Posit32(4.0389678347315804e-28),Posit32(7.951717924627799e-28),00000000000000000000000010100000,00000000000000000000000010111111,32
37,-90,192,223,8.077936e-28,1.615587e-27,00010010100000000000000000000000,00010010111111111111111111111111,8388608,-23,2,24,2,5,Posit32(8.077935669463161e-28),Posit32(1.5903435849255598e-27),00000000000000000000000011000000,00000000000000000000000011011111,32
38,-89,224,255,1.6155871e-27,3.231174e-27,00010011000000000000000000000000,00010011011111111111111111111111,8388608,-23,3,24,2,5,Posit32(1.6155871338926322e-27),Posit32(3.1806871698511196e-27),00000000000000000000000011100000,00000000000000000000000011111111,32
39,-88,256,319,3.2311743e-27,6.462348e-27,00010011100000000000000000000000,00010011111111111111111111111111,8388608,-22,0,23,2,6,Posit32(3.2311742677852644e-27),Posit32(6.411861437636384e-27),00000000000000000000000100000000,00000000000000000000000100111111,64
40,-87,320,383,6.4623485e-27,1.2924696e-26,00010100000000000000000000000000,00010100011111111111111111111111,8388608,-22,1,23,2,6,Posit32(6.462348535570529e-27),Posit32(1.2823722875272768e-26),00000000000000000000000101000000,00000000000000000000000101111111,64
41,-86,384,447,1.2924697e-26,2.5849393e-26,00010100100000000000000000000000,00010100111111111111111111111111,8388608,-22,2,23,2,6,Posit32(1.2924697071141057e-26),Posit32(2.5647445750545536e-26),00000000000000000000000110000000,00000000000000000000000110111111,64
42,-85,448,511,2.5849394e-26,5.1698785e-26,00010101000000000000000000000000,00010101011111111111111111111111,8388608,-22,3,23,2,6,Posit32(2.5849394142282115e-26),Posit32(5.129489150109107e-26),00000000000000000000000111000000,00000000000000000000000111111111,64
43,-84,512,639,5.169879e-26,1.0339757e-25,00010101100000000000000000000000,00010101111111111111111111111111,8388608,-21,0,22,2,7,Posit32(5.169878828456423e-26),Posit32(1.029936797856553e-25),00000000000000000000001000000000,00000000000000000000001001111111,128
44,-83,640,767,1.0339758e-25,2.0679514e-25,00010110000000000000000000000000,00010110011111111111111111111111,8388608,-21,1,22,2,7,Posit32(1.0339757656912846e-25),Posit32(2.059873595713106e-25),00000000000000000000001010000000,00000000000000000000001011111111,128
45,-82,768,895,2.0679515e-25,4.1359028e-25,00010110100000000000000000000000,00010110111111111111111111111111,8388608,-21,2,22,2,7,Posit32(2.0679515313825692e-25),Posit32(4.119747191426212e-25),00000000000000000000001100000000,00000000000000000000001101111111,128
46,-81,896,1023,4.135903e-25,8.2718056e-25,00010111000000000000000000000000,00010111011111111111111111111111,8388608,-21,3,22,2,7,Posit32(4.1359030627651384e-25),Posit32(8.239494382852424e-25),00000000000000000000001110000000,00000000000000000000001111111111,128
47,-80,1024,1279,8.271806e-25,1.6543611e-24,00010111100000000000000000000000,00010111111111111111111111111111,8388608,-20,0,21,2,8,Posit32(8.271806125530277e-25),Posit32(1.65113005083827e-24),00000000000000000000010000000000,00000000000000000000010011111111,256
48,-79,1280,1535,1.6543612e-24,3.3087223e-24,00011000000000000000000000000000,00011000011111111111111111111111,8388608,-20,1,21,2,8,Posit32(1.6543612251060553e-24),Posit32(3.30226010167654e-24),00000000000000000000010100000000,00000000000000000000010111111111,256
49,-78,1536,1791,3.3087225e-24,6.6174445e-24,00011000100000000000000000000000,00011000111111111111111111111111,8388608,-20,2,21,2,8,Posit32(3.308722450212111e-24),Posit32(6.60452020335308e-24),00000000000000000000011000000000,00000000000000000000011011111111,256
50,-77,1792,2047,6.617445e-24,1.3234889e-23,00011001000000000000000000000000,00011001011111111111111111111111,8388608,-20,3,21,2,8,Posit32(6.617444900424222e-24),Posit32(1.320904040670616e-23),00000000000000000000011100000000,00000000000000000000011111111111,256
51,-76,2048,2559,1.323489e-23,2.6469778e-23,00011001100000000000000000000000,00011001111111111111111111111111,8388608,-19,0,20,2,9,Posit32(1.3234889800848443e-23),Posit32(2.6443930207554603e-23),00000000000000000000100000000000,00000000000000000000100111111111,512
52,-75,2560,3071,2.646978e-23,5.2939556e-23,00011010000000000000000000000000,00011010011111111111111111111111,8388608,-19,1,20,2,9,Posit32(2.6469779601696886e-23),Posit32(5.2887860415109207e-23),00000000000000000000101000000000,00000000000000000000101111111111,512
53,-74,3072,3583,5.293956e-23,1.0587911e-22,00011010100000000000000000000000,00011010111111111111111111111111,8388608,-19,2,20,2,9,Posit32(5.293955920339377e-23),Posit32(1.0577572083021841e-22),00000000000000000000110000000000,00000000000000000000110111111111,512
54,-73,3584,4095,1.0587912e-22,2.1175822e-22,00011011000000000000000000000000,00011011011111111111111111111111,8388608,-19,3,20,2,9,Posit32(1.0587911840678754e-22),Posit32(2.1155144166043683e-22),00000000000000000000111000000000,00000000000000000000111111111111,512
55,-72,4096,5119,2.1175824e-22,4.2351645e-22,00011011100000000000000000000000,00011011111111111111111111111111,8388608,-18,0,19,2,10,Posit32(2.117582368135751e-22),Posit32(4.233096784740119e-22),00000000000000000001000000000000,00000000000000000001001111111111,1024
56,-71,5120,6143,4.2351647e-22,8.470329e-22,00011100000000000000000000000000,00011100011111111111111111111111,8388608,-18,1,19,2,10,Posit32(4.235164736271502e-22),Posit32(8.466193569480238e-22),00000000000000000001010000000000,00000000000000000001011111111111,1024
57,-70,6144,7167,8.4703295e-22,1.6940658e-21,00011100100000000000000000000000,00011100111111111111111111111111,8388608,-18,2,19,2,10,Posit32(8.470329472543003e-22),Posit32(1.6932387138960477e-21),00000000000000000001100000000000,00000000000000000001101111111111,1024
58,-69,7168,8191,1.6940659e-21,3.3881316e-21,00011101000000000000000000000000,00011101011111111111111111111111,8388608,-18,3,19,2,10,Posit32(1.6940658945086007e-21),Posit32(3.3864774277920953e-21),00000000000000000001110000000000,00000000000000000001111111111111,1024
59,-68,8192,10239,3.3881318e-21,6.776263e-21,00011101100000000000000000000000,00011101111111111111111111111111,8388608,-17,0,18,2,11,Posit32(3.3881317890172014e-21),Posit32(6.774609216809297e-21),00000000000000000010000000000000,00000000000000000010011111111111,2048
60,-67,10240,12287,6.7762636e-21,1.3552526e-20,00011110000000000000000000000000,00011110011111111111111111111111,8388608,-17,1,18,2,11,Posit32(6.776263578034403e-21),Posit32(1.3549218433618593e-20),00000000000000000010100000000000,00000000000000000010111111111111,2048
61,-66,12288,14335,1.3552527e-20,2.7105053e-20,00011110100000000000000000000000,00011110111111111111111111111111,8388608,-17,2,18,2,11,Posit32(1.3552527156068805e-20),Posit32(2.7098436867237187e-20),00000000000000000011000000000000,00000000000000000011011111111111,2048
62,-65,14336,16383,2.7105054e-20,5.4210105e-20,00011111000000000000000000000000,00011111011111111111111111111111,8388608,-17,3,18,2,11,Posit32(2.710505431213761e-20),Posit32(5.4196873734474373e-20),00000000000000000011100000000000,00000000000000000011111111111111,2048
63,-64,16384,20479,5.421011e-20,1.0842021e-19,00011111100000000000000000000000,00011111111111111111111111111111,8388608,-16,0,17,2,12,Posit32(5.421010862427522e-20),Posit32(1.084069823587496e-19),00000000000000000100000000000000,00000000000000000100111111111111,4096
64,-63,20480,24575,1.0842022e-19,2.1684042e-19,00100000000000000000000000000000,00100000011111111111111111111111,8388608,-16,1,17,2,12,Posit32(1.0842021724855044e-19),Posit32(2.168139647174992e-19),00000000000000000101000000000000,00000000000000000101111111111111,4096
65,-62,24576,28671,2.1684043e-19,4.3368084e-19,00100000100000000000000000000000,00100000111111111111111111111111,8388608,-16,2,17,2,12,Posit32(2.168404344971009e-19),Posit32(4.336279294349984e-19),00000000000000000110000000000000,00000000000000000110111111111111,4096
66,-61,28672,32767,4.3368087e-19,8.673617e-19,00100001000000000000000000000000,00100001011111111111111111111111,8388608,-16,3,17,2,12,Posit32(4.336808689942018e-19),Posit32(8.672558588699968e-19),00000000000000000111000000000000,00000000000000000111111111111111,4096
67,-60,32768,40959,8.6736174e-19,1.7347234e-18,00100001100000000000000000000000,00100001111111111111111111111111,8388608,-15,0,16,2,13,Posit32(8.673617379884035e-19),Posit32(1.7346175968584003e-18),00000000000000001000000000000000,00000000000000001001111111111111,8192
68,-59,40960,49151,1.7347235e-18,3.4694467e-18,00100010000000000000000000000000,00100010011111111111111111111111,8388608,-15,1,16,2,13,Posit32(1.734723475976807e-18),Posit32(3.4692351937168006e-18),00000000000000001010000000000000,00000000000000001011111111111111,8192
69,-58,49152,57343,3.469447e-18,6.9388935e-18,00100010100000000000000000000000,00100010111111111111111111111111,8388608,-15,2,16,2,13,Posit32(3.469446951953614e-18),Posit32(6.938470387433601e-18),00000000000000001100000000000000,00000000000000001101111111111111,8192
70,-57,57344,65535,6.938894e-18,1.3877787e-17,00100011000000000000000000000000,00100011011111111111111111111111,8388608,-15,3,16,2,13,Posit32(6.938893903907228e-18),Posit32(1.3876940774867202e-17),00000000000000001110000000000000,00000000000000001111111111111111,8192
71,-56,65536,81919,1.3877788e-17,2.7755574e-17,00100011100000000000000000000000,00100011111111111111111111111111,8388608,-14,0,15,2,14,Posit32(1.3877787807814457e-17),Posit32(2.775472858268166e-17),00000000000000010000000000000000,00000000000000010011111111111111,16384
72,-55,81920,98303,2.7755576e-17,5.5511148e-17,00100100000000000000000000000000,00100100011111111111111111111111,8388608,-14,1,15,2,14,Posit32(2.7755575615628914e-17),Posit32(5.550945716536332e-17),00000000000000010100000000000000,00000000000000010111111111111111,16384
73,-54,98304,114687,5.551115e-17,1.11022296e-16,00100100100000000000000000000000,00100100111111111111111111111111,8388608,-14,2,15,2,14,Posit32(5.551115123125783e-17),Posit32(1.1101891433072664e-16),00000000000000011000000000000000,00000000000000011011111111111111,16384
74,-53,114688,131071,1.110223e-16,2.2204459e-16,00100101000000000000000000000000,00100101011111111111111111111111,8388608,-14,3,15,2,14,Posit32(1.1102230246251565e-16),Posit32(2.2203782866145327e-16),00000000000000011100000000000000,00000000000000011111111111111111,16384
75,-52,131072,163839,2.220446e-16,4.4408918e-16,00100101100000000000000000000000,00100101111111111111111111111111,8388608,-13,0,14,2,15,Posit32(2.220446049250313e-16),Posit32(4.440824335864846e-16),00000000000000100000000000000000,00000000000000100111111111111111,32768
76,-51,163840,196607,4.440892e-16,8.8817837e-16,00100110000000000000000000000000,00100110011111111111111111111111,8388608,-13,1,14,2,15,Posit32(4.440892098500626e-16),Posit32(8.881648671729692e-16),00000000000000101000000000000000,00000000000000101111111111111111,32768
77,-50,196608,229375,8.881784e-16,1.7763567e-15,00100110100000000000000000000000,00100110111111111111111111111111,8388608,-13,2,14,2,15,Posit32(8.881784197001252e-16),Posit32(1.7763297343459383e-15),00000000000000110000000000000000,00000000000000110111111111111111,32768
78,-49,229376,262143,1.7763568e-15,3.5527135e-15,00100111000000000000000000000000,00100111011111111111111111111111,8388608,-13,3,14,2,15,Posit32(1.7763568394002505e-15),Posit32(3.5526594686918767e-15),00000000000000111000000000000000,00000000000000111111111111111111,32768
79,-48,262144,327679,3.5527137e-15,7.105427e-15,00100111100000000000000000000000,00100111111111111111111111111111,8388608,-12,0,13,2,16,Posit32(3.552713678800501e-15),Posit32(7.1053731474923776e-15),00000000000001000000000000000000,00000000000001001111111111111111,65536
80,-47,327680,393215,7.1054274e-15,1.4210854e-14,00101000000000000000000000000000,00101000011111111111111111111111,8388608,-12,1,13,2,16,Posit32(7.105427357601002e-15),Posit32(1.4210746294984755e-14),00000000000001010000000000000000,00000000000001011111111111111111,65536
81,-46,393216,458751,1.4210855e-14,2.8421708e-14,00101000100000000000000000000000,00101000111111111111111111111111,8388608,-12,2,13,2,16,Posit32(1.4210854715202004e-14),Posit32(2.842149258996951e-14),00000000000001100000000000000000,00000000000001101111111111111111,65536
82,-45,458752,524287,2.842171e-14,5.6843415e-14,00101001000000000000000000000000,00101001011111111111111111111111,8388608,-12,3,13,2,16,Posit32(2.842170943040401e-14),Posit32(5.684298517993902e-14),00000000000001110000000000000000,00000000000001111111111111111111,65536
83,-44,524288,655359,5.684342e-14,1.1368683e-13,00101001100000000000000000000000,00101001111111111111111111111111,8388608,-11,0,12,2,17,Posit32(5.684341886080802e-14),Posit32(1.1368640404074704e-13),00000000000010000000000000000000,00000000000010011111111111111111,131072
84,-43,655360,786431,1.1368684e-13,2.2737366e-13,00101010000000000000000000000000,00101010011111111111111111111111,8388608,-11,1,12,2,17,Posit32(1.1368683772161603e-13),Posit32(2.2737280808149407e-13),00000000000010100000000000000000,00000000000010111111111111111111,131072
85,-42,786432,917503,2.2737368e-13,4.5474732e-13,00101010100000000000000000000000,00101010111111111111111111111111,8388608,-11,2,12,2,17,Posit32(2.2737367544323206e-13),Posit32(4.5474561616298814e-13),00000000000011000000000000000000,00000000000011011111111111111111,131072
86,-41,917504,1048575,4.5474735e-13,9.0949465e-13,00101011000000000000000000000000,00101011011111111111111111111111,8388608,-11,3,12,2,17,Posit32(4.547473508864641e-13),Posit32(9.094912323259763e-13),00000000000011100000000000000000,00000000000011111111111111111111,131072
87,-40,1048576,1310719,9.094947e-13,1.8189893e-12,00101011100000000000000000000000,00101011111111111111111111111111,8388608,-10,0,11,2,18,Posit32(9.094947017729282e-13),Posit32(1.8189859340989045e-12),00000000000100000000000000000000,00000000000100111111111111111111,262144
88,-39,1310720,1572863,1.8189894e-12,3.6379786e-12,00101100000000000000000000000000,00101100011111111111111111111111,8388608,-10,1,11,2,18,Posit32(1.8189894035458565e-12),Posit32(3.637971868197809e-12),00000000000101000000000000000000,00000000000101111111111111111111,262144
89,-38,1572864,1835007,3.637979e-12,7.275957e-12,00101100100000000000000000000000,00101100111111111111111111111111,8388608,-10,2,11,2,18,Posit32(3.637978807091713e-12),Posit32(7.275943736395618e-12),00000000000110000000000000000000,00000000000110111111111111111111,262144
90,-37,1835008,2097151,7.275958e-12,1.4551914e-11,00101101000000000000000000000000,00101101011111111111111111111111,8388608,-10,3,11,2,18,Posit32(7.275957614183426e-12),Posit32(1.4551887472791236e-11),00000000000111000000000000000000,00000000000111111111111111111111,262144
91,-36,2097152,2621439,1.4551915e-11,2.9103829e-11,00101101100000000000000000000000,00101101111111111111111111111111,8388608,-9,0,10,2,19,Posit32(1.4551915228366852e-11),Posit32(2.9103802701158088e-11),00000000001000000000000000000000,00000000001001111111111111111111,524288
92,-35,2621440,3145727,2.910383e-11,5.8207657e-11,00101110000000000000000000000000,00101110011111111111111111111111,8388608,-9,1,10,2,19,Posit32(2.9103830456733704e-11),Posit32(5.8207605402316176e-11),00000000001010000000000000000000,00000000001011111111111111111111,524288
93,-34,3145728,3670015,5.820766e-11,1.16415315e-10,00101110100000000000000000000000,00101110111111111111111111111111,8388608,-9,2,10,2,19,Posit32(5.820766091346741e-11),Posit32(1.1641521080463235e-10),00000000001100000000000000000000,00000000001101111111111111111111,524288
94,-33,3670016,4194303,1.1641532e-10,2.3283063e-10,00101111000000000000000000000000,00101111011111111111111111111111,8388608,-9,3,10,2,19,Posit32(1.1641532182693481e-10),Posit32(2.328304216092647e-10),00000000001110000000000000000000,00000000001111111111111111111111,524288
95,-32,4194304,5242879,2.3283064e-10,4.6566126e-10,00101111100000000000000000000000,00101111111111111111111111111111,8388608,-8,0,9,2,20,Posit32(2.3283064365386963e-10),Posit32(4.6566106526313433e-10),00000000010000000000000000000000,00000000010011111111111111111111,1048576
96,-31,5242880,6291455,4.656613e-10,9.313225e-10,00110000000000000000000000000000,00110000011111111111111111111111,8388608,-8,1,9,2,20,Posit32(4.656612873077393e-10),Posit32(9.313221305262687e-10),00000000010100000000000000000000,00000000010111111111111111111111,1048576
97,-30,6291456,7340031,9.313226e-10,1.862645e-9,00110000100000000000000000000000,00110000111111111111111111111111,8388608,-8,2,9,2,20,Posit32(9.313225746154785e-10),Posit32(1.8626442610525373e-9),00000000011000000000000000000000,00000000011011111111111111111111,1048576
98,-29,7340032,8388607,1.8626451e-9,3.72529e-9,00110001000000000000000000000000,00110001011111111111111111111111,8388608,-8,3,9,2,20,Posit32(1.862645149230957e-9),Posit32(3.7252885221050747e-9),00000000011100000000000000000000,00000000011111111111111111111111,1048576
99,-28,8388608,10485759,3.7252903e-9,7.45058e-9,00110001100000000000000000000000,00110001111111111111111111111111,8388608,-7,0,8,2,21,Posit32(3.725290298461914e-9),Posit32(7.450578820566989e-9),00000000100000000000000000000000,00000000100111111111111111111111,2097152
100,-27,10485760,12582911,7.450581e-9,1.490116e-8,00110010000000000000000000000000,00110010011111111111111111111111,8388608,-7,1,8,2,21,Posit32(7.450580596923828e-9),Posit32(1.4901157641133977e-8),00000000101000000000000000000000,00000000101111111111111111111111,2097152
101,-26,12582912,14680063,1.4901161e-8,2.980232e-8,00110010100000000000000000000000,00110010111111111111111111111111,8388608,-7,2,8,2,21,Posit32(1.4901161193847656e-8),Posit32(2.9802315282267955e-8),00000000110000000000000000000000,00000000110111111111111111111111,2097152
102,-25,14680064,16777215,2.9802322e-8,5.960464e-8,00110011000000000000000000000000,00110011011111111111111111111111,8388608,-7,3,8,2,21,Posit32(2.9802322387695312e-8),Posit32(5.960463056453591e-8),00000000111000000000000000000000,00000000111111111111111111111111,2097152
103,-24,16777216,20971519,5.9604645e-8,1.1920928e-7,00110011100000000000000000000000,00110011111111111111111111111111,8388608,-6,0,7,2,22,Posit32(5.960464477539063e-8),Posit32(1.1920927533992653e-7),00000001000000000000000000000000,00000001001111111111111111111111,4194304
104,-23,20971520,25165823,1.1920929e-7,2.3841856e-7,00110100000000000000000000000000,00110100011111111111111111111111,8388608,-6,1,7,2,22,Posit32(1.1920928955078125e-7),Posit32(2.3841855067985307e-7),00000001010000000000000000000000,00000001011111111111111111111111,4194304
105,-22,25165824,29360127,2.3841858e-7,4.7683713e-7,00110100100000000000000000000000,00110100111111111111111111111111,8388608,-6,2,7,2,22,Posit32(2.384185791015625e-7),Posit32(4.7683710135970614e-7),00000001100000000000000000000000,00000001101111111111111111111111,4194304
106,-21,29360128,33554431,4.7683716e-7,9.5367426e-7,00110101000000000000000000000000,00110101011111111111111111111111,8388608,-6,3,7,2,22,Posit32(4.76837158203125e-7),Posit32(9.536742027194123e-7),00000001110000000000000000000000,00000001111111111111111111111111,4194304
107,-20,33554432,41943039,9.536743e-7,1.9073485e-6,00110101100000000000000000000000,00110101111111111111111111111111,8388608,-5,0,6,2,23,Posit32(9.5367431640625e-7),Posit32(1.9073485191256623e-6),00000010000000000000000000000000,00000010011111111111111111111111,8388608
108,-19,41943040,50331647,1.9073486e-6,3.814697e-6,00110110000000000000000000000000,00110110011111111111111111111111,8388608,-5,1,6,2,23,Posit32(1.9073486328125e-6),Posit32(3.8146970382513246e-6),00000010100000000000000000000000,00000010111111111111111111111111,8388608
