E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
144,17,2197815297,2206203904,-262143.98,-131072.0,11001000000000000000000000000000,11001000011111111111111111111111,8388608,4,1,6,2,23,Posit32(-262143.984375),Posit32(-131072.0),10000011000000000000000000000001,10000011100000000000000000000000,8388608
145,18,2189426689,2197815296,-524287.97,-262144.0,11001000100000000000000000000000,11001000111111111111111111111111,8388608,4,2,6,2,23,Posit32(-524287.96875),Posit32(-262144.0),10000010100000000000000000000001,10000011000000000000000000000000,8388608
146,19,2181038081,2189426688,-1.04857594e6,-524288.0,11001001000000000000000000000000,11001001011111111111111111111111,8388608,4,3,6,2,23,Posit32(-1.0485759375e6),Posit32(-524288.0),10000010000000000000000000000001,10000010100000000000000000000000,8388608
147,20,2176843777,2181038080,-2.0971519e6,-1.048576e6,11001001100000000000000000000000,11001001111111111111111111111111,8388608,5,0,7,2,22,Posit32(-2.09715175e6),Posit32(-1.048576e6),10000001110000000000000000000001,10000010000000000000000000000000,4194304
148,21,2172649473,2176843776,-4.1943038e6,-2.097152e6,11001010000000000000000000000000,11001010011111111111111111111111,8388608,5,1,7,2,22,Posit32(-4.1943035e6),Posit32(-2.097152e6),10000001100000000000000000000001,10000001110000000000000000000000,4194304
149,22,2168455169,2172649472,-8.3886075e6,-4.194304e6,11001010100000000000000000000000,11001010111111111111111111111111,8388608,5,2,7,2,22,Posit32(-8.388607e6),Posit32(-4.194304e6),10000001010000000000000000000001,10000001100000000000000000000000,4194304
150,23,2164260865,2168455168,-1.6777215e7,-8.388608e6,11001011000000000000000000000000,11001011011111111111111111111111,8388608,5,3,7,2,22,Posit32(-1.6777214e7),Posit32(-8.388608e6),10000001000000000000000000000001,10000001010000000000000000000000,4194304
151,24,2162163713,2164260864,-3.355443e7,-1.6777216e7,11001011100000000000000000000000,11001011111111111111111111111111,8388608,6,0,8,2,21,Posit32(-3.3554424e7),Posit32(-1.6777216e7),10000000111000000000000000000001,10000001000000000000000000000000,2097152
152,25,2160066561,2162163712,-6.710886e7,-3.3554432e7,11001100000000000000000000000000,11001100011111111111111111111111,8388608,6,1,8,2,21,Posit32(-6.7108848e7),Posit32(-3.3554432e7),10000000110000000000000000000001,10000000111000000000000000000000,2097152
153,26,2157969409,2160066560,-1.3421772e8,-6.7108864e7,11001100100000000000000000000000,11001100111111111111111111111111,8388608,6,2,8,2,21,Posit32(-1.34217696e8),Posit32(-6.7108864e7),10000000101000000000000000000001,10000000110000000000000000000000,2097152
